k_per_eff,y_per_eff,c_per_eff,A,k,y,c,ln_y,ln_c,g_y,case,Period
3.3386556437480177,0.8156458040044239,0.6007298945946072,4.093664406594498,13.667335774687102,3.3389801962410623,2.4591865874792083,1.2056654298990237,0.8998306397694326,0.001617166087336308,no shock with growth,86
3.294898769286581,0.8034869989699056,0.5917748339164026,4.162110032162841,13.713731222608676,3.344201299125058,2.4630319730249584,1.2072278905174578,0.9013931003878665,0.001562460618434125,no shock with growth,87
3.2513432757418372,0.7914676836018036,0.5829225085335824,4.231700061178593,13.75870953886934,3.3492538451186316,2.4667532150239393,1.2087375882279325,0.9029027980983413,0.0015096977104747111,no shock with growth,88
3.2080093974321917,0.7795884859863046,0.5741733810368282,4.302453627943465,13.802311670458863,3.3541433098347295,2.4703543463104674,1.2101963905247926,0.9043616003952013,0.0014588022968600178,no shock with growth,89
3.1649160103007756,0.7678498820245282,0.5655278019312591,4.374390186682621,13.844577537134427,3.3588749887735045,2.473839267064293,1.211606093138994,0.9057713030094027,0.0014097026142014801,no shock with growth,90
3.1220806952347084,0.75625220487476,0.5569860165907135,4.447529516893764,13.885546046180568,3.363454003396485,2.477211749284278,1.212968423169706,0.9071336330401147,0.0013623300307119557,no shock with growth,91
3.0795197990276937,0.7447956538955303,0.5485481718444012,4.521891728785652,13.925255107854982,3.3678853069856998,2.4804754411036884,1.2142850420548998,0.9084502519253086,0.0013166188851938543,no shock with growth,92
3.0372484930362265,0.7334803031151557,0.5402143222147909,4.5974972688075635,13.96374165142394,3.372173690296072,2.48363387095323,1.2155575483907564,0.909722758261165,0.0012725063358565158,no shock with growth,93
2.99528082958244,0.7223061092520373,0.5319844358246264,4.674366925271187,14.001041641698999,3.3763237870090395,2.4866904515776858,1.2167874806090286,0.9109526904794373,0.0012299322182722783,no shock with growth,94
2.9536297961587508,0.7112729193087332,0.5238583999900235,4.752521834066536,14.037190095993953,3.3803400789949993,2.4896484839117474,1.2179763195208468,0.9121415293912557,0.001188838911818202,no shock with growth,95
2.9123073674912083,0.7003804777616394,0.5158360265157304,4.831983484473414,14.072221101427766,3.3842269013918407,2.4925111608203996,1.2191254907348665,0.9132907006052754,0.0011491712140196952,no shock with growth,96
2.871324555519675,0.6896284333669778,0.5079170567077933,4.912773725070058,14.106167832505522,3.3879884475065154,2.4952815707089657,1.22023636695711,0.9144015768275188,0.0011108762222433732,no shock with growth,97
2.830691457353867,0.6790163456027224,0.5001011661180892,4.994914769740563,14.13906256891527,3.391628773546301,2.4979627010077228,1.2213102701793561,0.9154754800497648,0.0010739032222462086,no shock with growth,98
2.7904173012648372,0.6685436907650851,0.4923879690344376,5.0784292037827665,14.170936713484043,3.395151803186123,2.5005574415357725,1.2223484737624648,0.9165136836328736,0.0010382035831086878,no shock with growth,99
2.7505104907717186,0.6582098677372218,0.48477702272930107,5.163339990118234,14.201820810241344,3.3985613319780312,2.5030685877486563,1.223352204420597,0.9175174142910056,0.0010037306581320848,no shock with growth,100
0.5,0.7264543333032297,0.5350396372181643,1.0,0.5,0.7264543333032297,0.5350396372181643,-0.31957965644268777,-0.625414446572279,0.0,shock with growth,1
0.6465354231660102,0.8105715359407604,0.5969926541109758,1.0167198917082905,0.6573454254269196,0.8241242042435125,0.6069743066383563,-0.1934340271265549,-0.4992688172561462,0.12614562931613285,shock with growth,2
0.8033907908495738,0.8879811315063705,0.6540054628037156,1.0337193381953178,0.8304805966292343,0.9179232675906948,0.6760580941855795,-0.08564147835770412,-0.3914762684872954,0.10779254876885079,shock with growth,3
